[0.13] 呦 我来了
[1.50] 欢迎来到投机实验室
[3.57] 前些天国外发生了一件大事
[6.13] 在交易市场上
[7.37] 赚到过1,500万美元的男人
[9.53] Umar Ashraf
[11.13] 诚实的透露了
[12.33] 他作为超短线交易员
[14.07] 获得高额收益的关键细节
[16.13] 和经常能使他盈利的交易系统
[18.60] 研究了三遍他所有的内容之后
[20.53] 我得出一个结论
[21.77] 这就是日内交易的真相
[23.70] 这些经验在过去帮他赚了很多钱
[26.30] 相信之后
[27.20] 也会对各位的钱包产生很大的帮助
[30.20] 这期节目值得所有交易员反复观看
[33.27] 现在检查一下是否点击了订阅按钮
[36.27] 以免错过更加有利可图的交易内容
[39.33] Umar交易的流程非常固定
[41.50] 一般分为五个步骤
[42.90] 我们完全可以复制过来作为己用
[45.70] 第一个步骤是交易前的准备
[47.90] 首先
[48.30] 我们应该有一个具体且现实的目标
[51.13] Umar发现
[52.13] 包括他在内的很多交易员
[54.10] 总喜欢有一些不切实际的想法
[57.10] 比如你自己本来只有1,000美金
[59.73] 年底目标却是账户翻到1,000万
[62.37] 比如你每笔交易的止损只想付出1U
[65.77] 却每次都设置1,000U的止盈幅度
[68.60] 再比如
[69.53] 你总是喜欢买容易归零的山寨币种
[72.20] 却幻想价值投资到第二个比特币
[74.97] 等等
[75.30] 这些都是很不切合实际的目标和想法
[78.50] 他们会影响到你每一笔交易
[80.90] 让你做出非常离谱的交易决策
[83.50] 正确的方式是
[84.70] 应该定一个切实可行的目标
[86.77] 比如通过优化交易策略提高胜率
[89.73] 或者改善每笔交易风险回报的比例
[92.70] 再或者能像退学炒股一样
[94.93] 在交易初期
[95.97] 就能靠交易的利润维持生活开销
[99.13] 这些实际的目标
[100.20] 才能真正的帮你保持正确的交易心态
[102.90] 对你日常交易中的操作产生正面影响
[106.37] 有了一个阶段的目标后
[107.90] 每天交易前的例行程序
[109.77] 就是培养纪律和实现目标的第一步
[112.50] 这可以帮助我们
[113.60] 定下每个交易日整天的基调
[115.67] 以正确的心态去应对市场
[118.30] 有些人喜欢以晨跑开始新的一天
[120.53] 还有些人喜欢花时间看看经济数据
[123.30] 或者新闻消息等等
[124.73] 这完全取决于你自己的习惯
[126.70] 有规律的生活
[127.93] 能减少市场波动对我们情绪的影响
[130.77] 稳定的交易历程
[132.10] 能让交易的心态也变得稳定
[134.73] 第二个步骤是
[135.77] 交易开始前最好要发个誓言
[138.20] 相当于
[138.77] 销售人员每天早上给自己打鸡血
[141.10] 抽耳光一样
[142.13] 这是一种备受争议
